SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
April-6-2020,2955 NE 45th Ave,97213,1050000,4,3.5,PORTLAND NORTHEAST,3977,4791,1925,136,264,0,45.5446072,-122.6170681
April-10-2020,2818 NE 15th Ave,97212,770000,5,2.5,ALAMEDA,3980,7405,1917,132,193,0,45.5431615,-122.6501231
August-14-2020,6631 NW Meridian Ridge Dr,97210,1130000,4,3.5,RALEIGH HILLS,3983,4791,2007,6,284,135,45.5241871,-122.7453486
June-24-2020,535 NE Laurelhurst Pl,97232,1200000,5,2.5,LAURELHURST,4002,5227,1911,57,300,0,45.5270581,-122.6273467
February-28-2020,1908 NE Siskiyou St,97212,870000,5,2.5,IRVINGTON,4011,4791,1925,174,217,0,45.5450029,-122.6460105
May-14-2020,4104 SE Ash St,97214,619500,5,2,LAURELHURST,4040,6098,1916,98,153,0,45.5214715,-122.6197683
July-28-2020,2424 NE 24th Ave,97212,1470000,4,3.5,IRVINGTON,4048,10018,1910,23,363,0,45.5400865,-122.6407921
August-3-2020,2320 SW 17th Ave,97201,1699000,4,3.5,PORTLAND HEIGHTS,4053,4791,2013,17,419,0,45.5096692,-122.6954561
April-13-2020,312 NE Cesar E Chavez Blvd,97232,665000,4,2,PORTLAND NORTHEAST,4058,4791,1920,129,164,0,45.5255288,-122.6226245
March-26-2020,2021 SE Salmon St,97214,685000,3,2.5,HAWTHORNE,4074,4791,1897,147,168,0,45.5145326,-122.6450382
March-18-2020,4254 NE Hazelfern Pl,97213,1030000,4,3,LAURELHURST,4078,5227,1926,155,253,0,45.5301748,-122.6191475
April-22-2020,2845 NE 55th Ave,97213,825000,5,3,ROSE CITY,4081,4791,1913,120,202,0,45.5432845,-122.6069402
June-15-2020,1810 SE Exeter Dr,97202,1200000,5,4.5,PORTLAND SOUTHEAST,4106,20473,1950,66,292,0,45.4580575,-122.6522762
